fragment_ID,timepoint,cells.cm2
ACR1_4,TP4,788496.9637112038
ACR10_4,TP4,1740874.6339652278
ACR11_4,TP4,616150.1341729035
ACR12_4,TP4,976816.4186898188
ACR13_4,TP4,605586.7658718994
ACR14_4,TP4,574487.7828399127
ACR15_4,TP4,723915.8609553226
ACR16_4,TP4,539566.7101260673
ACR17_4,TP4,745565.4272564999
ACR18_4,TP4,669839.0482210554
ACR19_4,TP4,353006.4929227959
ACR2_4,TP4,1223268.2349322683
ACR20_4,TP4,452599.90077579144
ACR21_4,TP4,871721.0956982126
ACR22_4,TP4,580129.8902802075
ACR23_4,TP4,676560.6424884314
ACR24_4,TP4,611740.4971440749
ACR3_4,TP4,714248.922194011
ACR4_4,TP4,1054190.8653316398
ACR5_4,TP4,755417.2363451082
ACR6_4,TP4,778012.9860921253
ACR7_4,TP4,1071960.3722762256
ACR8_4,TP4,634051.625304337
ACR9_4,TP4,1073750.7875962027
