"","Date","Run","Temp.C"
"25","20221025","Run01",26.2925301204819
"24","20221025","Run02",27.7518072289157
"241","20221027","Run03",26.390406504065
"242","20221027","Run04",29.0260655737705
"243","20221028","Run05",27.4220481927711
"244","20221028","Run06",29.5557831325301
"245","20221029","Run07",26.1877192982456
"246","20221029","Run08",28.2581578947368
"247","20221030","Run09",26.304
"248","20221030","Run10",28.4482222222222
"249","20221031","Run11",26.2746428571429
"2410","20221031","Run12",28.5232142857143
